,Benchmark,Num Properties,Total Elapsed Time (seconds),Average Elapsed Time (seconds),Timeouts
0,adding.4_000,413,4349.0559700030135,10.530401864414076,0
0,anderson.1_000,9,5.340883372933604,0.5934314858815115,0
0,anderson.2_000,9,0.10965095995925367,0.01218343999547263,0
0,anderson.3_000,9,4716.627496597939,524.0697218442155,1
0,anderson.4_000,9,0.5878520121332258,0.06531689023702508,0
0,anderson.5_000,8,8000.0,1000.0,8
0,anderson.6_000,9,835.1959513761103,92.79955015290115,0
0,anderson.7_000,7,7000.0,1000.0,7
0,anderson.8_000,4,4000.0,1000.0,4
0,at.1_000,6,0.5588037350680679,0.09313395584467798,0
0,at.2_000,6,0.6359985929448158,0.10599976549080263,0
0,at.3_000,6,38.21729199716356,6.369548666193926,0
0,at.4_000,6,168.78606463584583,28.131010772640973,0
0,at.5_000,12,1196.9230519549455,149.6153814943682,0
0,at.6_000,6,4801.166620797943,800.1944367996572,3
0,at.7_000,5,5000.0,1000.0,5
0,bakery.1_000,9,0.16719561908394098,0.018577291009326775,0
0,bakery.2_000,9,0.10778475773986429,0.011976084193318255,0
0,bakery.3_000,9,0.5888863211730495,0.06543181346367216,0
0,bakery.4_000,9,2.851997421006672,0.3168886023340747,0
0,bakery.5_000,9,244.0867608388653,27.120751204318367,0
0,bakery.6_000,9,365.4395314739086,40.60439238598984,0
0,bakery.7_000,9,1031.391009878018,114.59900109755755,0
0,bakery.8_000,9,8664.125060491031,962.6805622767812,5
0,bopdp.1_000,8,4000.177867460996,500.0222334326245,4
0,bopdp.2_000,8,4000.1859214151045,500.02324017688807,4
0,bopdp.3_000,8,4008.2721057110466,501.0340132138808,4
0,bridge.3_000,429,1888.8057764228433,4.402810667652315,0
0,brp.1_000,4,0.1418901408324018,0.03547253520810045,0
0,brp.2_000,4,0.20862350892275572,0.05215587723068893,0
0,brp.3_000,4,10.16910191893112,2.54227547973278,0
0,brp.4_000,60,3218.288969813613,53.638149496893554,0
0,brp.4_001,4,143.6892333049327,35.92230832623318,0
0,brp.5_000,4,219.2292505480582,54.80731263701455,0
0,brp.6_000,4,575.9723715911387,143.99309289778466,0
0,collision.4_000,27,16713.032105493126,619.001189092338,15
0,cyclic_scheduler.3_000,356,74862.76412168099,210.28866326314883,74
0,driving_phils.1_000,4,0.11537810484878719,0.028844526212196797,0
0,driving_phils.2_000,4,0.26350294204894453,0.06587573551223613,0
0,driving_phils.3_000,2,2000.0,1000.0,2
0,driving_phils.4_000,4,4000.0,1000.0,4
0,driving_phils.5_000,2,2000.0,1000.0,2
0,elevator.1_000,4,0.13664099900051951,0.03416024975012988,0
0,elevator.2_000,4,0.054577662027440965,0.013644415506860241,0
0,elevator.3_000,4,3.6711292440304533,0.9177823110076133,0
0,elevator.4_000,521,2612.329693279229,5.896906756837989,0
0,elevator.4_001,4,9.298981191124767,2.3247452977811918,0
0,elevator.5_000,4,3287.9806073359214,821.9951518339803,1
0,elevator2.1_000,11,0.11579777311999351,0.012866419235554835,0
0,elevator2.2_000,11,6.9249236130854115,0.7694359570094902,0
