Benchmark,Total_Formulas,Total_Classes,Single_Formula_Classes,Multi_Formula_Classes,Original_Count,Optimized_Count,Reduction_Percentage,Equivalence_Class_Time,Containment_Analysis_Time,Total_Time,Time_Per_Formula,Formulas_Reduced,Time_Per_Original_Formula,Efficiency_Score,Reduction_Category,Size_Category,Normalized_Time,Normalized_Reduction
adding.4_000,413.0,1.0,0.0,1.0,413.0,168.0,59.32203389830508,0.6363751888275146,33.068788051605225,33.70548391342163,0.0816113411947255,245.0,0.0816113411947255,0.7268846833035386,High (50-75%),Very Large (100+),0.0816113411947255,59.32203389830508
anderson.1_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0042908191680908,0.0036404132843017,0.0081186294555664,0.0009020699395073777,6.0,0.0009020699395073777,73.90409961235763,High (50-75%),Small (5-10),0.0009020699395073777,66.66666666666666
anderson.2_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0047023296356201,0.003732681274414,0.0086350440979003,0.0009594493442111445,6.0,0.0009594493442111445,69.48430062399983,High (50-75%),Small (5-10),0.0009594493442111445,66.66666666666666
anderson.3_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0047199726104736,0.0037059783935546,0.0086052417755126,0.0009561379750569556,6.0,0.0009561379750569556,69.72494389493885,High (50-75%),Small (5-10),0.0009561379750569556,66.66666666666666
anderson.4_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0043191909790039,0.0039496421813964,0.008446455001831,0.0009384950002034444,6.0,0.0009384950002034444,71.03571851977351,High (50-75%),Small (5-10),0.0009384950002034444,66.66666666666666
anderson.5_000,8.0,1.0,0.0,1.0,8.0,5.0,37.5,0.0043027400970458,0.0039200782775878,0.0084118843078613,0.0010514855384826625,3.0,0.0010514855384826625,35.66382858114631,Medium (25-50%),Small (5-10),0.0010514855384826625,37.5
anderson.6_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0043413639068603,0.0037181377410888,0.0082337856292724,0.0009148650699191556,6.0,0.0009148650699191556,72.87049080642879,High (50-75%),Small (5-10),0.0009148650699191556,66.66666666666666
anderson.7_000,7.0,1.0,0.0,1.0,7.0,4.0,42.85714285714285,0.0034959316253662,0.0022177696228027,0.0058863162994384,0.0008409023284912,3.0,0.0008409023284912,50.965660820609024,Medium (25-50%),Small (5-10),0.0008409023284912,42.85714285714285
anderson.8_000,4.0,1.0,0.0,1.0,4.0,3.0,25.0,0.0023257732391357,0.0011420249938964,0.0036449432373046,0.00091123580932615,1.0,0.00091123580932615,27.43526949241301,Medium (25-50%),Tiny (≤4),0.00091123580932615,25.0
anderson_example,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0050137042999267,0.0038063526153564,0.0143947601318359,0.0015994177924262111,6.0,0.0015994177924262111,41.68183384126153,High (50-75%),Small (5-10),0.0015994177924262111,66.66666666666666
