Benchmark,Total_Formulas,Total_Time,Time_Per_Formula,Original_Count,Optimized_Count
bopdp.1_000,8.0,0.0053048133850097,0.0006631016731262125,8.0,8.0
bopdp.2_000,8.0,0.0053179264068603,0.0006647408008575375,8.0,8.0
bopdp.3_000,8.0,0.0052688121795654,0.000658601522445675,8.0,8.0
brp.1_000,4.0,0.0035841464996337,0.000896036624908425,4.0,4.0
brp.2_000,4.0,0.0036063194274902,0.00090157985687255,4.0,4.0
brp.3_000,4.0,0.0034847259521484,0.0008711814880371,4.0,4.0
brp.4_001,4.0,0.0035245418548583,0.000881135463714575,4.0,4.0
brp.5_000,4.0,0.0035090446472167,0.000877261161804175,4.0,4.0
brp.6_000,4.0,0.0034296512603759,0.000857412815093975,4.0,4.0
driving_phils.3_000,2.0,0.0018403530120849,0.00092017650604245,2.0,2.0
driving_phils.5_000,2.0,0.0018260478973388,0.0009130239486694,2.0,2.0
elevator.1_000,4.0,0.0036263465881347,0.000906586647033675,4.0,4.0
elevator.2_000,4.0,0.0035631656646728,0.0008907914161682,4.0,4.0
elevator.3_000,4.0,0.0035262107849121,0.000881552696228025,4.0,4.0
elevator.4_001,4.0,0.0038175582885742,0.00095438957214355,4.0,4.0
elevator.5_000,4.0,0.0036461353302001,0.000911533832550025,4.0,4.0
extinction.1_000,1.0,0.0007491111755371,0.0007491111755371,1.0,1.0
extinction.2_000,2.0,0.0010232925415039,0.00051164627075195,2.0,2.0
extinction.3_000,2.0,0.001239538192749,0.0006197690963745,2.0,2.0
extinction.4_000,2.0,0.0012116432189941,0.00060582160949705,2.0,2.0
leader_filters.1_000,2.0,0.0018134117126464,0.0009067058563232,2.0,2.0
leader_filters.2_000,2.0,0.0017547607421875,0.00087738037109375,2.0,2.0
leader_filters.3_000,2.0,0.001420259475708,0.000710129737854,2.0,2.0
leader_filters.4_000,2.0,0.0014214515686035,0.00071072578430175,2.0,2.0
leader_filters.5_000,2.0,0.0015547275543212,0.0007773637771606,2.0,2.0
leader_filters.6_000,2.0,0.0014348030090332,0.0007174015045166,2.0,2.0
leader_filters.7_000,2.0,0.0014591217041015,0.00072956085205075,2.0,2.0
public_subscribe.1_000,6.0,0.004173994064331,0.0006956656773885,6.0,6.0
public_subscribe.2_000,6.0,0.0039472579956054,0.0006578763326009,6.0,6.0
public_subscribe.3_000,6.0,0.004166841506958,0.000694473584493,6.0,6.0
public_subscribe.4_000,6.0,0.0039794445037841,0.0006632407506306833,6.0,6.0
public_subscribe.5_000,5.0,0.003587007522583,0.0007174015045166,5.0,5.0
